Cours;Intit.Complet
LIEPR1025;Physiologie et biochimie de l'exercice et nutrition 
LIEPR2191;Approche organisationnelle des systèmes sportifs nationaux en Europe 
LIEPR2192;Management des organisations sportives en Belgique et stage 
LIEPR2193;Principes généraux des entreprises dans le milieu des activités physiques et sportives et étude de cas 
LIEPR2236;Prévention des maladies et applications thérapeutiques des activités physiques et sportives 
LIEPR2292;Stratégie des organisations sportives : diagnostic et plan stratégique (projet et stages) 
LIEPR2293;Gestion d'entreprises dans le milieu des activités physiques et sportives (stage et rapport de stage) 
LKINE1002;Psychologie et handicap 
LKINE1004;Fondements de l'ergonomie 
LKINE1011;Théorie de la formation psychomotrice de base 
LKINE1012;Pratique de la formation psychomotrice de base 
LKINE1022;Pathologies et kinésithérapie du système musculo-squelettique 
LKINE1023;Pathologies et kinésithérapie du système cardio-respiratoire 
LKINE1024;Pathologies et kinésithérapie du système nerveux 
LKINE1025;Activités physiques et sportives 
LKINE1031;Compléments de pathologie et de kinésithérapie du système musculo-squelettique 
LKINE1033;Séminaire de rééducation motrice et de kinésithérapie 
LKINE1036;Compléments de neurophysiologie 
LKINE1038;Biophysique appliquée à la kinésithérapie 
LKINE1039;Technologie et réadaptation 
LKINE1040;Ergonomie et réadaptation 
LKINE1041;Compléments de pathologie et de kinésithérapie cardio-respiratoire 
LKINE1300;Méthodologie de la recherche en kinésithérapie et réadaptation 
LKINE1390; Didactique des enseignements en kinésithérapie, 1re partie
LKINE1396;Apprentissage moteur et neuroplasticité, module 1 
LKINE2102;Raisonnement clinique et communication 
LKINE2103;Sémiologie et examens médico-techniques appliqués aux pathologies musculo-squelettiques 
LKINE2104;Kinésithérapie musculo-squelettique appliquée au quadrant supérieur 
LKINE2108;Droit, institutions publiques et gestion dans les soins de santé 
LKINE2113;Questions approfondies de pathologie et kinésithérapie des atteintes neuromusculaires et médullaires 
LKINE2114;Questions approfondies de pathologie et kinésithérapie des cérébrolésions. 
LKINE2127;Compléments de pathologie, physiopathologie et éléments de pharmacologie 
LKINE2129;Compléments en technologie et réadapation 
LKINE2138;Compléments de kinésithérapie neurologique et neuropédiatrie 
LKINE2148;Evaluation fonctionnelle du patient 
LKINE2158;Techniques spécifiques de kinésithérapie, y compris la thérapie manuelle, l'uro-gynécologie et périnéologie, les techniques de relaxation, psychiatrie, vestibulaire, maxilo-faciale, ... 
LKINE2168;La kinésithérapie en algologie, soins palliatifs et gériatrie 
LKINE2188;Prévention des pathologies liées aux conditions de travail 
LKINE2189;Stages cliniques (4 mois)
LKINE2190;Rapports de stages 
LKINE2195; Didactique des enseignements en kinésithérapie, 2e partie
LKINE2196;Apprentissage moteur et neuroplasticité, module 2 
LKINE2199;Mémoire 
LKINE2205;Kinésithérapie musculo-squelettique appliquée au quadrant inférieur 
LKINE2206;Stages cliniques et rapport de stage (110h) 
LKINE2215;Questions approfondies de pathologie et kinésithérapie des atteintes cérébrales et de la sclérose en plaques 
LKINE2216;Stages cliniques (2 périodes de 4 semaines à temps plein) 
LKINE9034;Stages cliniques (3 mois) 
LKINE9035;Rapports de stages (3 mois de stages) 
LKNR1101;Introduction aux méthodes de recherche 
LKNR1102;Développement durable 
LKNR1103;Introduction au métier de kinésithérapeute 
LKNR1104;Système de santé et modèle médical 
LKNR1105;Evidence based practice (EBP) / Raisonnement clinique 1 
LKNR1200;Compléments de neurophysiologie 
LKNR1201;Méthode de récolte des données en sciences de la santé 
LKNR1202;Techniques de base en kinésithérapie 
LKNR1203;Anatomie palpatoire 
LKNR1204;Pathologies et kinésithérapie du système musculo-squelettique 
LKNR1205;Pathologies et kinésithérapie du système cardio-respiratoire 
LKNR1206;Pathologies et kinésithérapie du système nerveux 
LKNR1207;Introduction à la pathologie 
LKNR1208;Gériatrie 
LKNR1209;Psychiatrie 
LKNR1210;Evidence based practice (EBP) / Raisonnement clinique 2 
LKNR1211;Formation en motricité 1 
LKNR1212;Formation en motricité 2 
LKNR1302;Construction du projet de mémoire / étudiant chercheur 
LKNR1303;Compléments de pathologie et de kinésithérapie du système musculo-squelettique 
LKNR1304;Compléments de pathologie et de kinésithérapie du système cardio-respiratoire 
LKNR1305;Compléments de pathologie et de kinésithérapie du système nerveux 
LKNR1306;Communication thérapeutique 
LKNR1307;Kinésithérapie et algologie 
LKNR1308;Evidence based practice (EBP) / Raisonnement clinique 3 
LKNR1310;Introduction à l'instrumentation en sciences du mouvement 
LKNR1311;Apprentissage moteur et neuroplasticité 
LKNR1312;Didactique des enseignements en kinésithérapie et réadaptation 
LKNR1313;Neuroscience 
LKNR2104;Exercise medecine 
LKNR9130;Accompagnement des stages - Rapport de stage - Stage clinique 1 (a,b,c) - (3 mois) 
LLOGO1214;Anatomophysiologie : organes de la phonation et de la déglutition 
LLOGO1215;Anatomophysiologie : organes de l'audition, de l'équilibre et de la vision 
LPHMD2373;Quality Assurance and Special Techniques in Nuclear Medicine 
LPSP1006;Physiologie humaine, y compris éléments de neurophysiologie 
LPSP1304;Psychiatrie et Psychopharmacologie 
WAIGU2374;Mémoire de médecine aiguë 
WAIGU2383;Stages cliniques de médecine aiguë, 3e année, 1re partie 
WAIGU2393;Stages cliniques de médecine aiguë, 3e année, 2e partie 
WANAP2301;Compléments d'anatomie pathologique 1re année 
WANAP2302;Compléments d'anatomie pathologique 2e année 
WANAP2313;Questions spéciales d'anatomie pathologique (U ou IU) 3e année 
WANAP2314;Questions spéciales d'anatomie pathologique (U ou IU) 4e année 
WANAP2315;Questions spéciales d'anatomie pathologique (U ou IU) 5e année 
WANAP2321;Séminaires d'anatomie pathologique 1re année (U ou IU) 
WANAP2322;Séminaires d'anatomie pathologique 2e année (U ou IU) 
WANAP2323;Séminaires d'anatomie pathologique 3e année (U ou IU) 
WANAP2324;Séminaires d'anatomie pathologique 4e année (U ou IU) 
WANAP2375;Mémoire d'anatomie pathologique (publication) 
WANAP2381;Stages en laboratoire d'anatomie pathologique 1re année, 1re partie 
WANAP2382;Stages en laboratoire d'anatomie pathologique 2e année, 1re partie 
WANAP2383;Stages en laboratoire d'anatomie pathologique 3e année, 1re partie 
WANAP2384;Stages en laboratoire d'anatomie pathologique 4e année, 1re partie 
WANAP2385;Stages en laboratoire d'anatomie pathologique 5e année, 1re partie 
WANAP2391;Stages cliniques d'anatomie pathologique 1re année, 2e partie 
WANAP2392;Stages cliniques d'anatomie pathologique 2e année, 2e partie 
WANAP2393;Stages cliniques d'anatomie pathologique 3e année, 2e partie 
WANAP2394;Stages cliniques d'anatomie pathologique 4e année, 2e partie 
WANAP2395;Stages cliniques d'anatomie pathologique 5e année, 2e partie 
WANES2111;Formation à la réanimation cardio-pulmonaire 
WANES2300;Cours préparatoires à la spécialisation en anesthésie-réanimation 
WANES2301;Enseignement IU (EUIA 1re partie), séminaires et workshop d'anatomie BARA 
WANES2302;Enseignement IU (EUIA 2e partie), séminaires et workshop d'anatomie BARA 
WANES2303;Enseignement IU, séminaires et formation complémentaire de 3e année 
WANES2304;Enseignement IU, séminaires et formation complémentaire de 4e année 
WANES2310;Eléments avancés d'anesthésiologie 
WANES2311;Evaluation annuelle d'anesthésie-réanimation (U ou IU), 1re année 
WANES2312;Evaluation annuelle d'anesthésie-réanimation (U ou IU), 2e année 
WANES2313;Evaluation annuelle d'anesthésie-réanimation (U ou IU), 3e année 
WANES2314;Evaluation annuelle d'anesthésie-réanimation (U ou IU), 4e année 
WANES2315;Evaluation de fin de formation d'anesthésie-réanimation (U ou IU), 5e année 
WANES2325;Séminaires et exercices encadrés d'anesthésie-réanimation (présentation staff) 
WANES2363;Mémoire d'anesthésie-réanimation 1re partie 
WANES2364;Mémoire d'anesthésie-réanimation 2e partie 
WANES2365;Mémoire d'anesthésie-réanimation 3e partie 
WANES2374;Mémoire d'anesthésie-réanimation 1re partie 
WANES2375;Mémoire d'anesthésie-réanimation 2e partie 
WANES2381;Stages cliniques d'anesthésie-réanimation 1re année, 1re partie 
WANES2382;Stages cliniques d'anesthésie-réanimation 2e année, 1re partie 
WANES2383;Stages cliniques d'anesthésie-réanimation 3e année, 1re partie 
WANES2384;Stages cliniques d'anesthésie-réanimation 4e année, 1re partie 
WANES2385;Stages cliniques d'anesthésie-réanimation 5e année, 1re partie 
WANES2391;Stages cliniques d'anesthésie-réanimation 1re année, 2e partie 
WANES2392;Stages cliniques d'anesthésie-réanimation 2e année, 2e partie 
WANES2393;Stages cliniques d'anesthésie-réanimation 3e année, 2e partie 
WANES2394;Stages cliniques d'anesthésie-réanimation 4e année, 2e partie 
WANES2395;Stages cliniques d'anesthésie-réanimation 5e année, 2e partie 
WBCMM2101;Prestations techniques de base en biologie clinique  : en routine et en garde 
WBCMM2102; Séminaires de biologie clinique
WBCMM2201;Hémopathies : de l'hémogramme à la moléculaire.  Approche biologique multidisciplinaire. 
WBCMM2202;Revues de cas en hématologie et journal club 
WBCMM2203; Questions spéciales d'hémostase
WBCMM2204; Séminaires de biologie clinique postgradués
WBCMM2301;Formation universitaire spécifique en biologie clinique 1re année 
WBCMM2302;Formation universitaire spécifique en biologie clinique 2e année 
WBCMM2315;Examen final de connaissances en biologie clinique 
WBCMM2374;Préparation au mémoire de biologie clinique 
WBCMM2375;Mémoire de biologie clinique 
WBCMM2381;Stages de biologie clinique 1re année, 1re partie 
WBCMM2382;Stages de biologie clinique 2e année, 1re partie 
WBCMM2383;Stages de biologie clinique 3e année, 1re partie 
WBCMM2384;Stages de biologie clinique 4e année, 1re partie 
WBCMM2385;Stages de biologie clinique 5e année, 1re partie 
WBCMM2391;Stages de biologie clinique 1re année, 2e partie 
WBCMM2392;Stages de biologie clinique 2e année, 2e partie 
WBCMM2393;Stages de biologie clinique 3e année, 2e partie 
WBCMM2394;Stages de biologie clinique 4e année, 2e partie 
WBCMM2395;Stages de biologie clinique 5e année, 2e partie 
WBCMM2900;Mémoire 
WBICL2100; Compléments de biochimie médicale
WBICL2101; Questions spéciales d'immunologie, d'immunohématologie et de transfusion
WBICL2102; Compléments de microbiologie
WBICL2103; Compléments de virologie
WBICL2104;Compléments de sérologie auto-immunitaire 
WBICL2105;Apports de la biologie au diagnostic des principales maladies endocriniennes 
WBICL2106;Informatique appliquée à la biologie clinique 
WBICL2107;Principe et méthodologie des dosages immunologiques 
WBICL2108;Séminaires de biochimie médicale et prélèvements sanguins 
WBICL2110;Eléments de statistique appliqués  à la biologie clinique 
WBICL2355;Mémoire de biologie clinique 
WBICL2372;Mémoire de biologie clinique 1re partie 
WBICL2373;Mémoire de biologie clinique 2e partie 
WBICL2374;Mémoire de biologie clinique 3e partie 
WBICL2375;Mémoire de biologie clinique 4e partie et présentation 
WBICL2381;Stage de biologie clinique 1re année, 1re partie 
WBICL2382;Stage de biologie clinique 2e année, 1re partie 
WBICL2383;Stage de biologie clinique 3e année, 1re partie 
WBICL2384;Stage de biologie clinique 4e année, 1re partie 
WBICL2385;Stage de biologie clinique 5e année, 1re partie 
WBICL2391;Stage de biologie clinique 1re année, 2e partie 
WBICL2392;Stage de biologie clinique 2e année, 2e partie 
WBICL2393;Stage de biologie clinique 3e année, 2e partie 
WBICL2394;Stage de biologie clinique 4e année, 2e partie 
WBICL2395;Stage de biologie clinique 5e année, 2e partie 
WBICL2900;Mémoire 
WCARD2314;Questions approfondies de cardiologie (U ou IU) 4e année 
WCARD2315;Questions approfondies de cardiologie (U ou IU) 5e année 
WCARD2316;Questions approfondies de cardiologie (U ou IU) 6e année 
WCARD2376;Mémoire de cardiologie 
WCARD2384;Stages cliniques de cardiologie 4e année, 1re partie 
WCARD2385;Stages cliniques de cardiologie 5e année, 1re partie 
WCARD2386;Stages cliniques de cardiologie 6e année, 1re partie 
WCARD2394;Stages cliniques de cardiologie 4e année, 2° partie 
WCARD2395;Stages cliniques de cardiologie 5e année, 2e partie 
WCARD2396;Stages cliniques de cardiologie 6e année, 2e partie 
WCHG2010;Recherche en chirurgie 
WCHG2200;Chirurgie plastique 
WCHG2250;Séminaire de transplantation d'organes 
WCHG2311;Questions spéciales de chirurgie 1re année (U ou IU) 
WCHG2312;Questions spéciales de chirurgie 2e année (U ou IU) 
WCHG2313;Questions spéciales de chirurgie (U ou IU) 3e année 
WCHG2314;Questions spéciales de chirurgie (U ou IU) 4e année 
WCHG2315;Questions spéciales de chirurgie (U ou IU) 5e année 
WCHG2316;Questions spéciales de chirurgie (U ou IU) 6e année 
WCHG2376;Mémoire de chirurgie 
WCHG2381;Stages cliniques de chirurgie 1re année, 1re partie 
WCHG2382;Stages cliniques de chirurgie 2e année, 1re partie 
WCHG2383;Stages cliniques de chirurgie 3e année, 1re partie 
WCHG2384;Stages cliniques de la spécialité 4e année, 1re partie 
WCHG2385;Stages cliniques de chirurgie 5e année, 1re partie 
WCHG2386;Stages cliniques de chirurgie 6e année, 1re partie 
WCHG2391;Stages cliniques de chirurgie 1re année, 2e partie 
WCHG2392;Stages cliniques de chirurgie 2e année, 2e partie 
WCHG2393;Stages cliniques de chirurgie 3e année, 2e partie 
WCHG2394;Stages cliniques de la spécialité 4e année, 2e partie 
WCHG2395;Stages cliniques de chirurgie 5e année, 2e partie 
WCHG2396;Stages cliniques de chirurgie 6e année, 2e partie 
WCHGC2110;Chirurgie cardiaque 
WCHPL2313;Questions spéciales de chirurgie plastique, reconstructrice et esthétique (U ou IU) 3° année 
WCHPL2314;Questions spéciales de chirurgie plastique, reconstructrice et esthétique (U ou IU) 4° année 
WCHPL2315;Questions spéciales de chirurgie plastique, reconstructrice et esthétique (U ou IU) 5° année 
WCHPL2366;Enseignement interuniverstaire du CCP, mémoire de maîtrise et examen final 
WCHPL2373;Enseignement interuniverstaire du CCP et son évaluation annuelle, 1re partie 
WCHPL2374;Enseignement interuniverstaire du CCP et son évaluation annuelle, 2e partie 
WCHPL2375;Enseignement interuniverstaire du CCP et son évaluation annuelle, 3e partie 
WCHPL2376;Travail de fin d'études de chirurgie plastique, reconstructrice et esthétique 
WCHPL2383;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 3° année, 1re partie 
WCHPL2384;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 4° année, 1re partie 
WCHPL2385;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 5° année, 1re partie 
WCHPL2386;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 6° année, 1re partie 
WCHPL2393;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 3° année, 2° partie 
WCHPL2394;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 4° année, 2° partie 
WCHPL2395;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 5° année, 2° partie 
WCHPL2396;Stages cliniques de chirurgie plastique, reconstructrice et esthétique 6° année, 2° partie 
WDEGE3003;Séminaires communs à toutes les formations visant à l'obtention d'un titre professionnel particulier en dentisterie 
WDEGE3004;Séminaires spécifiques visant à l'obtention d'un titre professionnel particulier en dentisterie générale 
WDEGE3005; Activités d'intégration professionnelle en dentisterie générale, 1e partie
WDEGE3006; Activités d'intégration professionnelle en dentisterie générale, 2e partie
WDEGE3007;Mémoire en dentisterie générale 
WDENT1121; Anatomie dentaire
WDENT1152;Tissus dentaires et santé bucco-dentaire : une approche intégrée en santé publique 
WDENT1153;Introduction à la pratique dentaire : de l'observation à l'application 
WDENT1154;Eléments de physiologie générale 
WDENT1204;Biologie cellulaire et moléculaire 
WDENT1210;Anatomie et embryologie cervico-céphalique 
WDENT1211; Neurosciences : neuroanatomie et neurophysiologie
WDENT1213; Histologie des systèmes
WDENT1222;Prothèse inamovible (1re partie) 
WDENT1225;Laboratoire de dentisterie restauratrice et prothétique (1re partie) 
WDENT1242;Matériaux dentaires : concepts et analyse critique 
WDENT1243;Stage d'observation et projet professionnel (B) (20 heures) 
WDENT1244; Prévention dentaire
WDENT1254; Physiologie et sémiologie bucco-dentaires
WDENT1255;Biochimie humaine 
WDENT1260; Physiologie humaine
WDENT1284;Prothèse amovible 1ère partie 
WDENT1285;Gnathologie : Occlusion 
WDENT1303;Anatomie pathologique générale et bucco-dentaire 1re partie 
WDENT1320; Prothèse amovible complète
WDENT1321;Prothèse amovible partielle 
WDENT1324;Prothèse inamovible (2e partie) 
WDENT1330; Microbiologie médicale et bucco-dentaire
WDENT1333;Psychologie médicale 
WDENT1335; Parodontologie
WDENT1336;Anesthésie 
WDENT1337;Pathologies médicales, 1re partie 
WDENT1338; Pathologies médicales, 2e partie
WDENT1339;Préparation à l'approche globale d'un patient adulte 
WDENT1342; Endodontie
WDENT1345;Laboratoire de dentisterie restauratrice et prothétique (2e partie) 
WDENT1351; Chirurgie générale et bucco-dentaire
WDENT1360; Eléments de radiologie dento-maxillo-faciale et radioprotection
WDENT1391;Cariologie et dentisterie conservatrice 
WDENT2121;Aspects organisationnels, légaux, sociétaux et déontologiques de la profession 
WDENT2125;Biomatériaux avancés et biotechnologies 
WDENT2135;Urgences médicales au cabinet dentaire 
WDENT2140;Pharmacologie spéciale (2ème partie) et prescription médicale 
WDENT2150;Douleurs oro-faciales 
WDENT2152; Pathologie et thérapeutique oro-faciale
WDENT2154;Implantologie 
WDENT2155; Médecine dentaire pédiatrique
WDENT2156;Orthodontie et orthopédie dento-faciale 
WDENT2157;Orthodontie de l'adulte et pluridisciplinaire 
WDENT2160;Eléments de psychopathologie 
WDENT2161; Pathologies et thérapeutiques maxillo-faciales et oto-rhino-laryngologie
WDENT2190; Introduction et initiation aux sciences cliniques
WDENT2257;Séminaires pluridisciplinaires 
WDENT2290; Mémoire
WDENT2291; Clinique de prothèse
WDENT2292; Clinique de dentisterie opératoire
WDENT2293; Clinique de parodontologie
WDENT2294; Clinique de stomatologie et de chirurgie maxillo-faciale
WDENT2295; Clinique de médecine dentaire pédiatrique
WDENT2296; Clinique d'orthodontie
WDENT3041;Soins spécialisés en dentisterie générale avec orientation spécifique, 1e année 
WDENT3043;Soins spécialisés en dentisterie générale avec orientation spécifique, 2e année 
WDENT3051; Questions spéciales en dentisterie générale, 1e année
WDENT3053; Questions spéciales en dentisterie générale, 2e année
WDENT3061;Mémoire en dentisterie générale avec orientation spécifique - 1e partie 
WDENT3062;Mémoire en dentisterie générale avec orientation spécifique - 2e partie 
WDENT3063;Mémoire en dentisterie générale avec orientation spécifique - 3e partie 
WDENT3064;Mémoire en dentisterie générale avec orientation spécifique (en dentisterie pédiatrique) - 2e partie 
WDENT3065;Mémoire en dentisterie générale avec orientation spécifique (en dentisterie pédiatrique) - 3e partie 
WDENT4000;Mémoire en stomatologie 
WDENT4010;Mémoire en stomatologie et chirurgie maxillo-faciale 
WDEPE3013;Encadrement préclinique en dentisterie pédiatrique, 1e année 
WDEPE3014;Soins spécialisés axés sur la prise en charge des enfants et adolescents à besoins spécifiques (1er & 2e quadrimestres) 
WDEPE3015;Soins spécialisés axés sur la prise en charge des enfants et adolescents à besoins spécifiques (3e quadrimestre) 
WDEPE3016;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 1e année (1er quadrimestre) 
WDEPE3017;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 1e année (2e quadrimestre) 
WDEPE3018;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 1e année (3e quadrimestre) 
WDEPE3019;Questions spéciales à la prise en charge des patients à besoins spécifiques sous sédation consciente 
WDEPE3020;Questions spéciales à la prise en charge des patients à besoins spécifiques sous anesthésie générale 
WDEPE3021;Encadrement préclinique en dentisterie pédiatrique, 2e année 
WDEPE3022;Encadrement clinique et soins spécialisés axés sur la prise en charge des enfants et adolescents à besoins spécifiques et les personnes handicapées, 1e année (1er & 2e quadrimestres) 
WDEPE3023;Encadrement clinique et soins spécialisés axés sur la prise en charge des enfants et adolescents à besoins spécifiques et les personnes handicapées, 1e année (3e quadrimestre) 
WDEPE3024;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 2e année (1er quadrimestre) 
WDEPE3025;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 2e année (2e quadrimestre) 
WDEPE3026;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 2e année (3e quadrimestre) 
WDEPE3027;Encadrement préclinique en dentisterie pédiatrique, 3e année 
WDEPE3028;Encadrement clinique et soins personnalisés axés sur la prise en charge des enfants et adolescents à besoins spécifiques et les personnes handicapées, 2e année (1er & 2e quadrimestres) 
WDEPE3029;Encadrement clinique et soins personnalisés axés sur la prise en charge des enfants et adolescents à besoins spécifiques et les personnes handicapées, 2e année (3e quadrimestre) 
